TEAM_ABBREVIATION,TEAM_NAME,TEAM_SIDE,CITY,STATE,DEF_RATING,DEF_RATING_Z,LAST_GAME_DATE,DAYS_REST,IS_B2B,TRAVEL_MILES,TRAVEL_FATIGUE,OPP_PTS,OPP_PTS_Z,OPP_TEAM_FULL,OPP_DEF_RATING_Z,OPP_OPP_PTS_Z
MIL,Milwaukee Bucks,Home,Milwaukee,WI,112.7,0.0703388936036581,11/07/2025,2,No,0.0,0.0,118.11111111111111,0.4139842212188574,Houston Rockets,-0.768931995985435,-0.8235603639607553
NYK,New York Knicks,Home,New York,NY,112.7,0.0703388936036581,11/05/2025,4,No,0.0,0.0,113.625,-0.6462993358448427,Brooklyn Nets,2.396318216179145,1.9371160183629947
ORL,Orlando Magic,Home,Orlando,FL,110.3,-0.5051611449717214,11/07/2025,2,No,0.0,0.0,116.77777777777777,0.09885350456834392,Boston Celtics,-0.48118197669774526,-1.3376173454969011
MEM,Memphis Grizzlies,Home,Memphis,TN,113.8,0.3341097446173717,11/07/2025,2,No,0.0,0.0,119.1,0.6477061694013179,Oklahoma City Thunder,-2.2076820924238802,-1.5739653829847846
PHI,Philadelphia 76ers,Home,Philadelphia,PA,113.5,0.2621722397954501,11/08/2025,1,Yes,0.0,0.5,119.33333333333333,0.7028540448151576,Detroit Pistons,-1.2964736980128657,-1.3192347203589567
GSW,Golden State Warriors,Home,San Francisco,CA,112.9,0.11829723015160695,11/07/2025,2,No,0.0,0.0,116.7,0.0804708794303996,Indiana Pacers,-0.21741112568403165,0.6765931517609509
SAC,Sacramento Kings,Home,Sacramento,CA,116.8,1.0534847928365945,11/07/2025,2,No,0.0,0.0,121.66666666666667,1.2543327989535544,Minnesota Timberwolves,0.09431806187763082,-0.11123363986532951
HOU,Houston Rockets,Away,Milwaukee,WI,109.2,-0.768931995985435,11/07/2025,2,No,1006.5,1.006,112.875,-0.8235603639607553,Milwaukee Bucks,0.0703388936036581,0.4139842212188574
BKN,Brooklyn Nets,Away,New York,NY,122.4,2.396318216179145,11/07/2025,2,No,4.8,0.005,124.55555555555556,1.9371160183629947,New York Knicks,0.0703388936036581,-0.6462993358448427
BOS,Boston Celtics,Away,Orlando,FL,110.4,-0.48118197669774526,11/07/2025,2,No,1116.1,1.116,110.7,-1.3376173454969011,Orlando Magic,-0.5051611449717214,0.09885350456834392
OKC,Oklahoma City Thunder,Away,Memphis,TN,103.2,-2.2076820924238802,11/07/2025,2,No,421.4,0.421,109.7,-1.5739653829847846,Memphis Grizzlies,0.3341097446173717,0.6477061694013179
DET,Detroit Pistons,Away,Philadelphia,PA,107.0,-1.2964736980128657,11/07/2025,2,No,443.4,0.443,110.77777777777777,-1.3192347203589567,Philadelphia 76ers,0.2621722397954501,0.7028540448151576
IND,Indiana Pacers,Away,San Francisco,CA,111.5,-0.21741112568403165,11/08/2025,1,Yes,1943.5,2.444,119.22222222222223,0.6765931517609509,Golden State Warriors,0.11829723015160695,0.0804708794303996
MIN,Minnesota Timberwolves,Away,Sacramento,CA,112.8,0.09431806187763082,11/07/2025,2,No,1511.1,1.511,115.88888888888889,-0.11123363986532951,Sacramento Kings,1.0534847928365945,1.2543327989535544
